Name,Preferred,Enabled,Active,Expires,Registrar,Function,Infrastructure,Flags,Department,Organization,Locality,Province,Country
Emptier.Space,Y,Y,Y,20230421,namecheap.com,prod,MacLeod.Host,-ssss,Testbed System Host Service,,,,
McLeod.Host,Y,Y,Y,20230421,namecheap.com,prod,MacLeod.Host,-ssss -r https://macleod.host/,System Engineering Quality Assurance,,,,
Trump.Casino,Y,Y,Y,20240215,sav.com,infra,Trump.Casino,-ssss,Mock Games of Chance,,,,
Spy.Football,Y,Y,Y,20240430,namecheap.com,infra,Spy.Football,-ssss,Spy Football Massively Multiplayer Online Role Playing Game,,,,
Dixy.Codes,N,N,N,20220704,namecheap.com,prod,Spy.Football,-ssss,Dixy Technologies Code Repository,,,,
Dixy.Dev,Y,Y,Y,20231004,namecheap.com,prod,Spy.Football,-ssss,Dixy Technologies Development Platform,,,,
Dixy.Tech,Y,Y,Y,20231004,namecheap.com,prod,Spy.Football,-ssss,Dixy Technologies,,,,
Dixy.Tools,N,N,N,20220704,namecheap.com,prod,Spy.Football,-ssss,Dixy Technologies Solutions Vendor,,,,
Force.Contractors,Y,Y,Y,20230826,namecheap.com,prod,Spy.Football,-ssss,Advanced Military Contracting,,,,
Force.US.org,Y,Y,Y,20240826,namecheap.com,prod,Spy.Football,-ssss,Advanced Military Operations,,,,
Force.School,Y,Y,Y,20240503,namecheap.com,prod,Spy.Football,-ssss,Advanced Military Training,,,,
Fugly.Rocks,N,N,N,20220727,namecheap.com,prod,Spy.Football,-ssss,Cocaine Sales and Distribution,,,,
Guvy.Name,Y,Y,Y,20240430,namecheap.com,prod,Spy.Football,-ssss,American Commoner Registration Office,,,,
McFly.id,Y,Y,Y,20240502,namecheap.com,prod,Spy.Football,-ssss,Time Traveler Customs & Registration,,,,
MIB.wtf,Y,Y,Y,20240430,namecheap.com,prod,Spy.Football,-ssss,Ultra-Secret Agent Registration Office,,,,
WitSec.id,Y,Y,Y,20230803,namecheap.com,prod,Spy.Football,-ssss,Witness Protection Program Registration Office,,,,
Wrath.Army,Y,Y,Y,20240502,namecheap.com,prod,Spy.Football,-ssss,Land Defense Military Branch,,,,
Wrath.Navy,Y,Y,Y,20240502,namecheap.com,prod,Spy.Football,-ssss,Sea Defense Military Branch,,,,
Yanky.Cash,Y,Y,Y,20231004,namecheap.com,prod,Spy.Football,-ssss,Yanky Computer Financial Solutions,,,,
Yanky.Computer,Y,Y,Y,20240618,namecheap.com,prod,Spy.Football,-ssss,Yanky Computer Company,,,,
MeatPopsicle.VIP,Y,Y,Y,20231004,namecheap.com,corp,WonEye.site,-ssss,Urban Taxi Service and Gourmet Croquettes,,,,
UglyBagsOfMostlyWater.Club,Y,Y,Y,20240721,namecheap.com,corp,WonEye.site,-ssss,Cordial Community Contributor Coterie,,,,
WonEye.site,Y,Y,Y,20240506,namecheap.com,infra,WonEye.site,-ssss,Architecture Quality Assurance,,,,
nunu.foundation,Y,Y,Y,20240916,namecheap.com,org,WonEye.site,-ssss,Fellowship Outreach & Coordination,,,,
nuOS.xyz,Y,Y,Y,20240506,namecheap.com,org,WonEye.site,-s,Advanced Software Research & Development,,,,
Bedlam.City,Y,Y,Y,20231014,namecheap.com,prod,WonEye.site,-ssss,Urban Culture Chronology,,,,
Mercenary.Pro,Y,Y,Y,20231014,namecheap.com,prod,Spy.Football,-ssss,Soldiers of Fortune,,,,
Deplorable.One,Y,Y,Y,20231023,namecheap.com,prod,WonEye.site,-ssss,Working Class Patriot Association,,,,
FloridaMan.VIP,Y,Y,Y,20240719,namecheap.com,prod,WonEye.site,-ssss,Misadventures of Florida Man,,,,
MAGA.baby,Y,Y,Y,20230503,namecheap.com,prod,WonEye.site,-ssss,Make America Great Again,,,,
Same.Name,Y,Y,Y,20231222,namecheap.com,prod,CargoBay.net,-ssss,Same Name Fame Claim Game,,,,
HealthyHabits.help,Y,Y,Y,20240103,namecheap.com,prod,CargoBay.net,-essss,Healthy Habits House Transitional Living,,,,
HHH.rent,Y,Y,Y,20240102,namecheap.com,prod,CargoBay.net,-ssss,Healthy Habits House Guest Services,,,,
